,student_id,checkpoint_no,duration,confidence,year,percentage_checkpoint,no_attempt,average_attempt,office_hours,is_passed
0,14772,1,-1.0,-1,-1,1.0,0,-1.0,0,1
1,75683,1,-1.0,-1,-1,0.0,0,-1.0,0,0
2,16144,1,-1.0,-1,-1,0.0,0,-1.0,0,0
3,68658,1,-1.0,-1,-1,1.0,0,-1.0,0,1
4,17830,1,4.0,6,2,0.0,0,-1.0,0,0
5,62252,1,-1.0,-1,-1,0.0,0,-1.0,0,0
6,32314,1,-1.0,-1,-1,0.0,0,-1.0,0,0
7,19343,1,-1.0,-1,-1,1.0,0,-1.0,0,1
8,57725,1,-1.0,-1,-1,0.0,0,-1.0,0,0
9,62783,1,-1.0,-1,-1,1.0,0,-1.0,0,1
10,36585,1,-1.0,-1,-1,0.0,0,-1.0,0,0
11,47088,1,-1.0,-1,-1,0.0,0,-1.0,0,0
12,97692,1,-1.0,-1,-1,1.0,0,-1.0,0,1
13,46516,1,-1.0,-1,-1,0.0,0,-1.0,0,0
14,44661,1,-1.0,-1,-1,1.0,0,-1.0,0,1
15,17830,1,4.0,6,2,1.0,1,-1.0,0,1
16,96431,1,-1.0,-1,-1,0.0,0,-1.0,0,0
17,32314,1,-1.0,-1,-1,1.0,1,-1.0,0,1
18,26815,1,-1.0,-1,-1,0.0,0,-1.0,0,0
19,57725,1,-1.0,-1,-1,0.0,1,-1.0,0,0
20,88009,1,-1.0,-1,-1,1.0,0,-1.0,0,1
21,47088,1,-1.0,-1,-1,1.0,1,-1.0,0,1
22,31085,1,-1.0,-1,-1,1.0,0,-1.0,0,1
23,57894,1,-1.0,-1,-1,1.0,0,-1.0,0,1
24,13358,1,-1.0,-1,-1,1.0,0,-1.0,0,1
25,38687,1,-1.0,-1,-1,0.0,0,-1.0,0,0
26,77508,1,-1.0,-1,-1,0.0,0,-1.0,0,0
27,58151,1,-1.0,-1,-1,1.0,0,-1.0,0,1
28,75683,1,-1.0,-1,-1,0.0,1,-1.0,1,0
29,46516,1,-1.0,-1,-1,0.5,1,-1.0,0,1
30,78555,1,-1.0,-1,-1,0.5,0,-1.0,0,1
31,38873,1,-1.0,-1,-1,0.0,0,-1.0,0,0
32,98539,1,-1.0,-1,-1,0.5,0,-1.0,0,1
33,18832,1,-1.0,-1,-1,0.0,0,-1.0,0,0
34,29436,1,-1.0,-1,-1,0.5,0,-1.0,0,1
35,83943,1,-1.0,-1,-1,0.0,0,-1.0,0,0
36,36585,1,-1.0,-1,-1,0.5,1,-1.0,0,1
37,26815,1,-1.0,-1,-1,0.5,1,-1.0,1,1
38,16144,1,-1.0,-1,-1,0.3333333333333333,1,-1.0,0,1
39,75683,1,-1.0,-1,-1,0.3333333333333333,2,-1.0,1,1
40,57725,1,-1.0,-1,-1,0.0,2,-1.0,1,0
41,38687,1,-1.0,-1,-1,0.3333333333333333,1,-1.0,0,1
42,18832,1,-1.0,-1,-1,0.25,1,-1.0,1,1
43,57725,1,-1.0,-1,-1,0.125,3,-1.0,4,1
44,83943,1,-1.0,-1,-1,0.0,1,-1.0,2,0
45,83943,1,-1.0,-1,-1,0.07692307692307693,2,-1.0,2,1
46,62252,1,-1.0,-1,-1,0.05263157894736842,1,-1.0,0,1
47,96431,1,-1.0,-1,-1,0.041666666666666664,1,-1.0,0,1
48,14772,2,-1.0,-1,-1,1.0,0,1.0,0,1
49,68658,2,-1.0,-1,-1,0.5,0,1.0,0,0
50,36585,2,-1.0,-1,-1,1.0,0,2.0,0,1
51,62783,2,-1.0,-1,-1,1.0,0,1.0,0,1
52,32314,2,-1.0,-1,-1,1.0,0,2.0,0,1
53,19343,2,-1.0,-1,-1,1.0,0,1.0,0,1
54,97692,2,-1.0,-1,-1,1.0,0,1.0,0,1
55,47088,2,-1.0,-1,-1,1.0,0,2.0,0,1
56,17830,2,4.0,6,2,1.0,0,2.0,0,1
57,16144,2,-1.0,-1,-1,1.0,0,2.0,0,1
58,75683,2,-1.0,-1,-1,0.3333333333333333,0,3.0,1,0
59,29436,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
60,88009,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
61,38687,2,-1.0,-1,-1,0.6666666666666666,0,2.0,0,1
62,13358,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
63,57894,2,-1.0,-1,-1,0.3333333333333333,0,1.0,0,0
64,57725,2,-1.0,-1,-1,0.6666666666666666,0,4.0,1,1
65,44661,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
66,96431,2,-1.0,-1,-1,0.6666666666666666,0,2.0,0,1
67,58151,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
68,31085,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
69,46516,2,-1.0,-1,-1,0.3333333333333333,0,2.0,0,0
70,62252,2,-1.0,-1,-1,0.3333333333333333,0,2.0,0,0
71,78555,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
72,26815,2,-1.0,-1,-1,0.6666666666666666,0,2.0,1,1
73,77508,2,-1.0,-1,-1,0.3333333333333333,0,-1.0,0,1
74,38873,2,-1.0,-1,-1,0.0,0,-1.0,0,0
75,83943,2,-1.0,-1,-1,0.6666666666666666,0,3.0,0,1
76,98539,2,-1.0,-1,-1,0.6666666666666666,0,1.0,0,1
77,68658,2,-1.0,-1,-1,0.5,1,1.0,0,1
78,75683,2,-1.0,-1,-1,0.5,1,3.0,1,1
79,18832,2,-1.0,-1,-1,0.5,0,2.0,1,1
80,57894,2,-1.0,-1,-1,0.3333333333333333,1,1.0,0,1
81,62252,2,-1.0,-1,-1,0.125,1,2.0,0,1
82,46516,2,-1.0,-1,-1,0.08333333333333333,1,2.0,0,1
83,14772,3,-1.0,-1,-1,1.0,0,1.0,0,1
84,36585,3,-1.0,-1,-1,0.6666666666666666,0,1.5,0,0
85,68658,3,-1.0,-1,-1,1.0,0,1.5,0,1
86,19343,3,-1.0,-1,-1,1.0,0,1.0,0,1
87,32314,3,-1.0,-1,-1,1.0,0,1.5,0,1
88,13358,3,-1.0,-1,-1,0.6666666666666666,0,1.0,0,0
89,38687,3,-1.0,-1,-1,0.6666666666666666,0,1.5,0,0
90,62252,3,-1.0,-1,-1,0.6666666666666666,0,2.0,0,0
91,17830,3,4.0,6,2,0.5,0,1.5,0,0
92,57725,3,-1.0,-1,-1,0.5,0,2.5,1,0
93,16144,3,-1.0,-1,-1,0.5,0,1.5,0,0
94,88009,3,-1.0,-1,-1,0.75,0,1.0,0,1
95,75683,3,-1.0,-1,-1,0.75,0,2.5,1,1
96,44661,3,-1.0,-1,-1,0.5,0,1.0,0,0
97,97692,3,-1.0,-1,-1,0.75,0,1.0,0,1
98,47088,3,-1.0,-1,-1,0.5,0,1.5,0,0
99,36585,3,-1.0,-1,-1,0.75,1,1.5,0,1
100,96431,3,-1.0,-1,-1,0.5,0,1.5,0,0
101,57725,3,-1.0,-1,-1,0.5,1,2.5,1,0
102,62783,3,-1.0,-1,-1,0.75,0,1.0,0,1
103,17830,3,4.0,6,2,0.75,1,1.5,0,1
104,77508,3,-1.0,-1,-1,0.5,0,1.0,0,1
105,18832,3,-1.0,-1,-1,0.5,0,1.5,1,0
106,47088,3,-1.0,-1,-1,0.6,1,1.5,0,1
107,78555,3,-1.0,-1,-1,0.4,0,1.0,0,0
108,29436,3,-1.0,-1,-1,0.6,0,1.0,0,1
109,83943,3,-1.0,-1,-1,0.4,0,2.0,0,0
110,57894,3,-1.0,-1,-1,0.6,0,1.5,0,1
111,26815,3,-1.0,-1,-1,0.4,0,1.5,1,0
112,98539,3,-1.0,-1,-1,0.6,0,1.0,0,1
113,58151,3,-1.0,-1,-1,0.6,0,1.0,0,1
114,16144,3,-1.0,-1,-1,0.6,1,1.5,0,1
115,46516,3,-1.0,-1,-1,0.6,0,2.0,0,1
116,38687,3,-1.0,-1,-1,0.5,1,1.5,1,1
117,13358,3,-1.0,-1,-1,0.5,1,1.0,0,1
118,31085,3,-1.0,-1,-1,0.2857142857142857,0,1.0,0,0
119,78555,3,-1.0,-1,-1,0.375,1,1.0,0,1
120,57725,3,-1.0,-1,-1,0.375,2,2.5,4,1
121,83943,3,-1.0,-1,-1,0.25,1,2.0,2,0
122,44661,3,-1.0,-1,-1,0.25,1,1.0,0,0
123,38873,3,-1.0,-1,-1,0.0,0,-1.0,0,0
124,83943,3,-1.0,-1,-1,0.23076923076923078,2,2.0,2,1
125,26815,3,-1.0,-1,-1,0.13333333333333333,1,1.5,1,0
126,62252,3,-1.0,-1,-1,0.16666666666666666,1,2.0,0,1
127,31085,3,-1.0,-1,-1,0.16666666666666666,1,1.0,1,1
128,26815,3,-1.0,-1,-1,0.14285714285714285,2,1.5,1,1
129,44661,3,-1.0,-1,-1,0.125,2,1.0,0,1
130,18832,3,-1.0,-1,-1,0.125,1,1.5,1,1
131,96431,3,-1.0,-1,-1,0.125,1,1.5,0,1
132,36585,4,-1.0,-1,-1,1.0,0,1.6666666666666667,0,1
133,68658,4,-1.0,-1,-1,1.0,0,1.3333333333333333,0,1
134,17830,4,4.0,6,2,1.0,0,1.6666666666666667,0,1
